Driver	DateTimeStart	DateTimeEnd	Duration	Activity	Week	Day	DayType	Sequence	BreakType	Token	Legal	Cluster	ZenoInfo
driver4	2017-04-01 18:09:00	2017-04-01 18:12:00	3.0	Other	1.0	5.0	ndd	first	uninterrupted	A	1	20	
driver4	2017-04-01 18:12:00	2017-04-01 18:20:00	8.0	Driving	1.0	5.0	ndd	first	uninterrupted	A	1	20	
driver4	2017-04-01 18:20:00	2017-04-01 21:14:00	174.0	Break	1.0	5.0	ndd	first	uninterrupted	B_T1	1	20	
driver4	2017-04-01 21:14:00	2017-04-01 21:24:00	10.0	Driving	1.0	5.0	ndd	second	uninterrupted	A	1	20	
driver4	2017-04-01 21:24:00	2017-04-01 21:29:00	5.0	Other	1.0	5.0	ndd	second	uninterrupted	A	1	20	
driver4	2017-04-01 21:29:00	2017-04-01 21:32:00	3.0	Break	1.0	5.0	ndd	second	uninterrupted	B_T0	1	20	
driver4	2017-04-01 21:32:00	2017-04-01 21:35:00	3.0	Driving	1.0	5.0	ndd	second	uninterrupted	A	1	20	
driver4	2017-04-01 21:35:00	2017-04-01 21:37:00	2.0	Other	1.0	5.0	ndd	second	uninterrupted	A	1	20	
driver4	2017-04-01 21:37:00	2017-05-01 07:55:00	618.0	Break	1.0	5.0	ndd	second	uninterrupted	DR_T4	1	20	
driver4	2017-01-13 14:32:00	2017-01-13 18:15:00	223.0	Driving	3.0	14.0	ndd	first	uninterrupted	A	1	20	
driver4	2017-01-13 18:15:00	2017-01-13 19:01:00	46.0	Break	3.0	14.0	ndd	first	uninterrupted	B_T1	1	20	
driver4	2017-01-13 19:01:00	2017-01-13 21:38:00	157.0	Driving	3.0	14.0	ndd	second	uninterrupted	A	1	20	
driver4	2017-01-13 21:38:00	2017-01-13 21:39:00	1.0	Other	3.0	14.0	ndd	second	uninterrupted	A	1	20	
driver4	2017-01-13 21:39:00	2017-01-14 07:00:00	561.0	Break	3.0	14.0	ndd	second	uninterrupted	DR_T2	1	20	
driver5	2017-03-01 18:31:00	2017-03-01 18:39:00	8.0	Driving	1.0	4.0	ndd	first	uninterrupted	A	1	20	
driver5	2017-03-01 18:39:00	2017-03-01 21:29:00	170.0	Break	1.0	4.0	ndd	first	uninterrupted	B_T1	1	20	
