Driver,Duration,Activity,Week,Day,DayType,Sequence,BreakType,Token,Legal,Infraction
driver1,6,Driving,1.0,7,ndd,first,split_1,A,1,no
driver1,24,Break,1.0,7,ndd,first,split_1,B_T2,1,no
driver1,210,Driving,1.0,7,ndd,first,split_2,A,1,no
driver1,47,Break,1.0,7,ndd,first,split_2,B_T3,1,no
driver1,154,Driving,1.0,7,ndd,second,uninterrupted,A,1,no
driver1,1,Other,1.0,7,ndd,second,uninterrupted,A,1,no
driver1,3,Break,1.0,7,ndd,second,uninterrupted,B_T0,1,no
driver1,10,Driving,1.0,7,ndd,second,uninterrupted,A,1,no
driver1,13,Other,1.0,7,ndd,second,uninterrupted,A,1,no
driver1,4,Driving,1.0,7,ndd,second,uninterrupted,A,1,no
driver1,2,Other,1.0,7,ndd,second,uninterrupted,A,1,no
driver1,3149,Break,1.0,7,ndd,second,uninterrupted,WR_T1,1,no
driver1,6,Driving,2.0,8,none,none,uninterrupted,A,0,unidentified
driver1,5,Other,2.0,8,none,none,uninterrupted,A,0,unidentified
driver1,3,Driving,2.0,8,none,none,uninterrupted,A,0,unidentified
driver1,6,Idle,2.0,8,none,none,uninterrupted,I,0,unidentified
driver1,2,Driving,2.0,8,none,none,uninterrupted,A,0,unidentified
driver1,5,Other,2.0,8,none,none,uninterrupted,A,0,unidentified
driver1,71,Break,2.0,8,none,none,uninterrupted,B_T1,0,unidentified
driver1,1,Driving,2.0,8,none,none,none,A,0,unidentified
driver1,2,Idle,2.0,8,none,none,none,I,0,unidentified
driver1,25,Driving,2.0,8,none,none,none,A,0,unidentified
driver1,16,Break,2.0,8,none,none,none,none,0,unidentified
driver1,27,Driving,2.0,8,none,none,none,A,0,unidentified
driver1,14,Break,2.0,8,none,none,none,B_T0,0,unidentified
driver1,4,Other,2.0,8,none,none,none,A,0,unidentified
driver1,17,Break,2.0,8,none,none,none,none,0,unidentified
driver1,1,Driving,2.0,8,ndd,first,split_1,A,1,no
driver1,10,Break,2.0,8,ndd,first,split_1,B_T0,1,no
driver1,6,Other,2.0,8,ndd,first,split_1,A,1,no
driver1,1,Driving,2.0,8,ndd,first,split_1,A,1,no
driver1,6,Other,2.0,8,ndd,first,split_1,A,1,no
driver1,1,Driving,2.0,8,ndd,first,split_1,A,1,no
driver1,20,Break,2.0,8,ndd,first,split_1,B_T2,1,no
driver1,1,Driving,2.0,8,ndd,first,split_2,A,1,no
driver1,2,Other,2.0,8,ndd,first,split_2,A,1,no
driver1,10,Break,2.0,8,ndd,first,split_2,B_T0,1,no
driver1,10,Driving,2.0,8,ndd,first,split_2,A,1,no
driver1,161,Break,2.0,8,ndd,first,split_2,B_T3,1,no
driver1,34,Driving,2.0,8,ndd,second,uninterrupted,A,1,no
driver1,2,Other,2.0,8,ndd,second,uninterrupted,A,1,no
driver1,14,Driving,2.0,8,ndd,second,uninterrupted,A,1,no
driver1,11,Other,2.0,8,ndd,second,uninterrupted,A,1,no
driver1,2,Driving,2.0,8,ndd,second,uninterrupted,A,1,no
driver1,1,Other,2.0,8,ndd,second,uninterrupted,A,1,no
driver1,2,Break,2.0,8,ndd,second,uninterrupted,B_T0,1,no
driver1,3,Driving,2.0,8,ndd,second,uninterrupted,A,1,no
driver1,1,Other,2.0,8,ndd,second,uninterrupted,A,1,no
driver1,1389,Break,2.0,8,ndd,second,uninterrupted,DR_T1,1,no
driver1,5,Driving,2.0,9,ndd,unique,split_1,A,1,no
driver1,17,Break,2.0,9,ndd,unique,split_1,B_T2,1,no
driver1,5,Driving,2.0,9,ndd,unique,split_2,A,1,no
driver1,183,Break,2.0,9,ndd,unique,split_2,DR_T3,1,no
driver1,1,Driving,2.0,10,none,none,uninterrupted,A,0,unidentified
driver1,2,Other,2.0,10,none,none,uninterrupted,A,0,unidentified
driver1,134,Driving,2.0,10,none,none,uninterrupted,A,0,unidentified
driver1,54,Break,2.0,10,none,none,uninterrupted,B_T1,0,unidentified
driver1,180,Driving,2.0,10,none,none,none,A,0,unidentified
driver1,2,Other,2.0,10,none,none,none,A,0,unidentified
driver1,1,Driving,2.0,10,none,none,none,A,0,unidentified
driver1,3,Other,2.0,10,none,none,none,A,0,unidentified
driver1,7,Driving,2.0,10,none,none,none,A,0,unidentified
driver1,4,Other,2.0,10,none,none,none,A,0,unidentified
driver1,193,Break,2.0,10,none,none,none,none,0,unidentified
driver1,3,Driving,2.0,10,ndd,unique,uninterrupted,A,1,no
driver1,3209,Break,2.0,10,ndd,unique,uninterrupted,WR_T1,1,no
driver1,62,Driving,3.0,11,ndd,first,uninterrupted,A,1,no
driver1,107,Break,3.0,11,ndd,first,uninterrupted,B_T1,1,no
driver1,67,Driving,3.0,11,ndd,second,uninterrupted,A,1,no
driver1,1198,Break,3.0,11,ndd,second,uninterrupted,DR_T1,1,no
driver1,4,Driving,3.0,12,edd,first,uninterrupted,A,1,no
driver1,4,Break,3.0,12,edd,first,uninterrupted,B_T0,1,no
driver1,1,Driving,3.0,12,edd,first,uninterrupted,A,1,no
driver1,3,Other,3.0,12,edd,first,uninterrupted,A,1,no
driver1,128,Break,3.0,12,edd,first,uninterrupted,B_T1,1,no
driver1,3,Driving,3.0,12,edd,second,split_1,A,1,no
driver1,6,Break,3.0,12,edd,second,split_1,B_T0,1,no
driver1,3,Other,3.0,12,edd,second,split_1,A,1,no
driver1,1,Driving,3.0,12,edd,second,split_1,A,1,no
driver1,10,Break,3.0,12,edd,second,split_1,B_T0,1,no
driver1,16,Driving,3.0,12,edd,second,split_1,A,1,no
driver1,26,Break,3.0,12,edd,second,split_1,B_T2,1,no
driver1,235,Driving,3.0,12,edd,second,split_2,A,1,no
driver1,32,Break,3.0,12,edd,second,split_2,B_T3,1,no
driver1,120,Driving,3.0,12,edd,third,split_1,A,1,no
driver1,35,Break,3.0,12,edd,third,split_1,B_T2,1,no
driver1,121,Driving,3.0,12,edd,third,split_2,A,1,no
driver1,660,Sug-Break,3.0,12,edd,third,split_2,DR_T1,1,no
