Driver	DateTimeStart	DateTimeEnd	Duration	Activity	Week	Day	DayType	Sequence	BreakType	Token	Legal	Cluster	ZenoInfo
driver2	2017-01-13 06:46:00	2017-01-13 07:09:00	23.0	Driving	1.0	6.0	none	none	uninterrupted	A	0	18	
driver2	2017-01-13 07:09:00	2017-01-13 07:59:00	50.0	Break	1.0	6.0	none	none	uninterrupted	B_T1	0	18	
driver2	2017-01-13 07:59:00	2017-01-13 08:02:00	3.0	Driving	1.0	6.0	none	none	none	A	0	18	
driver2	2017-01-13 08:02:00	2017-01-13 08:03:00	1.0	Other	1.0	6.0	none	none	none	A	0	18	
driver2	2017-01-13 08:03:00	2017-01-13 08:35:00	32.0	Break	1.0	6.0	none	none	none	none	0	18	
driver2	2017-01-13 08:35:00	2017-01-13 08:45:00	10.0	Other	1.0	6.0	none	none	split_1	A	0	18	
driver2	2017-01-13 08:45:00	2017-01-13 09:47:00	62.0	Driving	1.0	6.0	none	none	split_1	A	0	18	
driver2	2017-01-13 09:47:00	2017-01-13 10:16:00	29.0	Break	1.0	6.0	none	none	split_1	B_T2	0	18	
driver2	2017-01-13 10:16:00	2017-01-13 12:46:00	150.0	Driving	1.0	6.0	none	none	split_2	A	0	18	
driver2	2017-01-13 12:46:00	2017-01-13 12:47:00	1.0	Break	1.0	6.0	none	none	split_2	B_T0	0	18	
driver2	2017-01-13 12:47:00	2017-01-13 12:52:00	5.0	Idle	1.0	6.0	none	none	split_2	I	0	18	
driver2	2017-01-13 12:52:00	2017-01-13 12:53:00	1.0	Driving	1.0	6.0	none	none	split_2	A	0	18	
driver2	2017-01-13 12:53:00	2017-01-13 13:23:00	30.0	Break	1.0	6.0	none	none	split_2	B_T3	0	18	
driver2	2017-01-13 13:23:00	2017-01-13 13:24:00	1.0	Driving	1.0	6.0	none	none	split_1	A	0	18	
driver2	2017-01-13 13:24:00	2017-01-13 13:39:00	15.0	Break	1.0	6.0	none	none	split_1	B_T2	0	18	
driver2	2017-01-13 13:39:00	2017-01-13 13:40:00	1.0	Driving	1.0	6.0	none	none	split_2	A	0	18	
driver2	2017-01-13 13:40:00	2017-01-13 13:42:00	2.0	Other	1.0	6.0	none	none	split_2	A	0	18	
driver2	2017-01-13 13:42:00	2017-01-13 13:45:00	3.0	Break	1.0	6.0	none	none	split_2	B_T0	0	18	
driver2	2017-01-13 13:45:00	2017-01-13 13:46:00	1.0	Driving	1.0	6.0	none	none	split_2	A	0	18	
driver2	2017-01-13 13:46:00	2017-01-13 13:54:00	8.0	Other	1.0	6.0	none	none	split_2	A	0	18	
driver2	2017-01-13 13:54:00	2017-01-13 14:03:00	9.0	Break	1.0	6.0	none	none	split_2	B_T0	0	18	
driver2	2017-01-13 14:03:00	2017-01-13 14:06:00	3.0	Driving	1.0	6.0	none	none	split_2	A	0	18	
driver2	2017-01-13 14:06:00	2017-01-13 14:26:00	20.0	Other	1.0	6.0	none	none	split_2	A	0	18	
driver2	2017-01-13 14:26:00	2017-01-13 14:28:00	2.0	Driving	1.0	6.0	none	none	split_2	A	0	18	
driver2	2017-01-13 14:28:00	2017-01-13 14:30:00	2.0	Break	1.0	6.0	none	none	split_2	B_T0	0	18	
driver2	2017-01-13 14:30:00	2017-01-13 14:31:00	1.0	Driving	1.0	6.0	none	none	split_2	A	0	18	
driver2	2017-01-13 14:31:00	2017-01-13 14:42:00	11.0	Break	1.0	6.0	none	none	split_2	B_T0	0	18	
driver2	2017-01-13 14:42:00	2017-01-13 14:47:00	5.0	Driving	1.0	6.0	none	none	split_2	A	0	18	
driver2	2017-01-13 14:47:00	2017-01-13 14:49:00	2.0	Other	1.0	6.0	none	none	split_2	A	0	18	
driver2	2017-01-13 14:49:00	2017-01-13 15:03:00	14.0	Driving	1.0	6.0	none	none	split_2	A	0	18	
driver2	2017-01-13 15:03:00	2017-01-13 16:13:00	70.0	Break	1.0	6.0	none	none	split_2	B_T3	0	18	
driver2	2017-01-13 16:13:00	2017-01-13 16:14:00	1.0	Driving	1.0	6.0	none	none	none	A	0	18	
driver2	2017-01-13 16:14:00	2017-01-13 16:23:00	9.0	Other	1.0	6.0	none	none	none	A	0	18	
driver2	2017-01-13 16:23:00	2017-01-13 16:55:00	32.0	Break	1.0	6.0	none	none	none	none	0	18	
driver2	2017-01-13 16:55:00	2017-01-13 17:00:00	5.0	Other	1.0	6.0	ndd	unique	split_1	A	1	18	
driver2	2017-01-13 17:00:00	2017-01-13 17:04:00	4.0	Break	1.0	6.0	ndd	unique	split_1	B_T0	1	18	
driver2	2017-01-13 17:04:00	2017-01-13 17:05:00	1.0	Driving	1.0	6.0	ndd	unique	split_1	A	1	18	
driver2	2017-01-13 17:05:00	2017-01-13 17:10:00	5.0	Other	1.0	6.0	ndd	unique	split_1	A	1	18	
driver2	2017-01-13 17:10:00	2017-01-13 17:12:00	2.0	Driving	1.0	6.0	ndd	unique	split_1	A	1	18	
driver2	2017-01-13 17:12:00	2017-01-13 17:15:00	3.0	Other	1.0	6.0	ndd	unique	split_1	A	1	18	
driver2	2017-01-13 17:15:00	2017-01-13 17:16:00	1.0	Break	1.0	6.0	ndd	unique	split_1	B_T0	1	18	
driver2	2017-01-13 17:16:00	2017-01-13 17:17:00	1.0	Driving	1.0	6.0	ndd	unique	split_1	A	1	18	
driver2	2017-01-13 17:17:00	2017-01-13 17:25:00	8.0	Other	1.0	6.0	ndd	unique	split_1	A	1	18	
driver2	2017-01-13 17:25:00	2017-01-13 18:16:00	51.0	Driving	1.0	6.0	ndd	unique	split_1	A	1	18	
driver2	2017-01-13 18:16:00	2017-01-13 18:21:00	5.0	Other	1.0	6.0	ndd	unique	split_1	A	1	18	
driver2	2017-01-13 18:21:00	2017-01-13 18:46:00	25.0	Break	1.0	6.0	ndd	unique	split_1	B_T2	1	18	
driver2	2017-01-13 18:46:00	2017-01-13 19:37:00	51.0	Driving	1.0	6.0	ndd	unique	split_2	A	1	18	
driver2	2017-01-13 19:37:00	2017-01-16 08:15:00	3638.0	Break	1.0	6.0	ndd	unique	split_2	WR_T1	1	18	
driver10	2017-12-01 12:09:00	2017-12-01 12:15:00	6.0	Driving	1.0	9.0	none	none	split_1	A	0	18	
driver10	2017-12-01 12:15:00	2017-12-01 12:19:00	4.0	Other	1.0	9.0	none	none	split_1	A	0	18	
driver10	2017-12-01 12:19:00	2017-12-01 12:21:00	2.0	Driving	1.0	9.0	none	none	split_1	A	0	18	
driver10	2017-12-01 12:21:00	2017-12-01 12:38:00	17.0	Break	1.0	9.0	none	none	split_1	B_T2	0	18	
driver10	2017-12-01 12:38:00	2017-12-01 12:41:00	3.0	Driving	1.0	9.0	none	none	split_2	A	0	18	
driver10	2017-12-01 12:41:00	2017-12-01 12:44:00	3.0	Other	1.0	9.0	none	none	split_2	A	0	18	
driver10	2017-12-01 12:44:00	2017-12-01 12:45:00	1.0	Driving	1.0	9.0	none	none	split_2	A	0	18	
driver10	2017-12-01 12:45:00	2017-12-01 12:48:00	3.0	Other	1.0	9.0	none	none	split_2	A	0	18	
driver10	2017-12-01 12:48:00	2017-12-01 12:52:00	4.0	Driving	1.0	9.0	none	none	split_2	A	0	18	
driver10	2017-12-01 12:52:00	2017-12-01 12:56:00	4.0	Other	1.0	9.0	none	none	split_2	A	0	18	
driver10	2017-12-01 12:56:00	2017-12-01 13:12:00	16.0	Driving	1.0	9.0	none	none	split_2	A	0	18	
driver10	2017-12-01 13:12:00	2017-12-01 13:19:00	7.0	Other	1.0	9.0	none	none	split_2	A	0	18	
driver10	2017-12-01 13:19:00	2017-12-01 13:52:00	33.0	Break	1.0	9.0	none	none	split_2	B_T3	0	18	
driver10	2017-12-01 13:52:00	2017-12-01 13:53:00	1.0	Driving	1.0	9.0	none	none	none	A	0	18	
driver10	2017-12-01 13:53:00	2017-12-01 13:55:00	2.0	Other	1.0	9.0	none	none	none	A	0	18	
driver10	2017-12-01 13:55:00	2017-12-01 13:56:00	1.0	Driving	1.0	9.0	none	none	none	A	0	18	
driver10	2017-12-01 13:56:00	2017-12-01 13:59:00	3.0	Other	1.0	9.0	none	none	none	A	0	18	
driver10	2017-12-01 13:59:00	2017-12-01 14:03:00	4.0	Driving	1.0	9.0	none	none	none	A	0	18	
driver10	2017-12-01 14:03:00	2017-12-01 14:12:00	9.0	Other	1.0	9.0	none	none	none	A	0	18	
driver10	2017-12-01 14:12:00	2017-12-01 14:19:00	7.0	Driving	1.0	9.0	none	none	none	A	0	18	
driver10	2017-12-01 14:19:00	2017-12-01 14:22:00	3.0	Other	1.0	9.0	none	none	none	A	0	18	
driver10	2017-12-01 14:22:00	2017-12-01 14:28:00	6.0	Break	1.0	9.0	none	none	none	B_T0	0	18	
driver10	2017-12-01 14:28:00	2017-12-01 14:41:00	13.0	Other	1.0	9.0	none	none	none	A	0	18	
driver10	2017-12-01 14:41:00	2017-12-01 14:44:00	3.0	Driving	1.0	9.0	none	none	none	A	0	18	
driver10	2017-12-01 14:44:00	2017-12-01 14:47:00	3.0	Other	1.0	9.0	none	none	none	A	0	18	
driver10	2017-12-01 14:47:00	2017-12-01 14:52:00	5.0	Driving	1.0	9.0	none	none	none	A	0	18	
driver10	2017-12-01 14:52:00	2017-12-01 14:56:00	4.0	Other	1.0	9.0	none	none	none	A	0	18	
driver10	2017-12-01 14:56:00	2017-12-01 14:57:00	1.0	Driving	1.0	9.0	none	none	none	A	0	18	
driver10	2017-12-01 14:57:00	2017-12-01 15:02:00	5.0	Break	1.0	9.0	none	none	none	B_T0	0	18	
driver10	2017-12-01 15:02:00	2017-12-01 15:05:00	3.0	Other	1.0	9.0	none	none	none	A	0	18	
driver10	2017-12-01 15:05:00	2017-12-01 15:18:00	13.0	Driving	1.0	9.0	none	none	none	A	0	18	
driver10	2017-12-01 15:18:00	2017-12-01 15:52:00	34.0	Break	1.0	9.0	none	none	none	none	0	18	
driver10	2017-12-01 15:52:00	2017-12-01 16:41:00	49.0	Driving	1.0	9.0	ndd	unique	split_1	A	1	18	
driver10	2017-12-01 16:41:00	2017-12-01 17:04:00	23.0	Break	1.0	9.0	ndd	unique	split_1	B_T2	1	18	
driver10	2017-12-01 17:04:00	2017-12-01 17:37:00	33.0	Driving	1.0	9.0	ndd	unique	split_2	A	1	18	
driver10	2017-12-01 17:37:00	2017-12-01 17:39:00	2.0	Other	1.0	9.0	ndd	unique	split_2	A	1	18	
driver10	2017-12-01 17:39:00	2017-01-13 07:45:00	846.0	Break	1.0	9.0	ndd	unique	split_2	DR_T4	1	18	
driver17	2017-12-01 11:04:00	2017-12-01 11:05:00	1.0	Driving	2.0	10.0	none	none	none	A	0	18	
driver17	2017-12-01 11:05:00	2017-12-01 11:13:00	8.0	Other	2.0	10.0	none	none	none	A	0	18	
driver17	2017-12-01 11:13:00	2017-12-01 11:14:00	1.0	Break	2.0	10.0	none	none	none	B_T0	0	18	
driver17	2017-12-01 11:14:00	2017-12-01 11:24:00	10.0	Driving	2.0	10.0	none	none	none	A	0	18	
driver17	2017-12-01 11:24:00	2017-12-01 11:26:00	2.0	Other	2.0	10.0	none	none	none	A	0	18	
driver17	2017-12-01 11:26:00	2017-12-01 11:41:00	15.0	Break	2.0	10.0	none	none	none	none	0	18	
driver17	2017-12-01 11:41:00	2017-12-01 11:42:00	1.0	Driving	2.0	10.0	none	none	split_1	A	0	18	
driver17	2017-12-01 11:42:00	2017-12-01 11:51:00	9.0	Break	2.0	10.0	none	none	split_1	B_T0	0	18	
driver17	2017-12-01 11:51:00	2017-12-01 11:52:00	1.0	Driving	2.0	10.0	none	none	split_1	A	0	18	
driver17	2017-12-01 11:52:00	2017-12-01 12:07:00	15.0	Break	2.0	10.0	none	none	split_1	B_T2	0	18	
driver17	2017-12-01 12:07:00	2017-12-01 12:11:00	4.0	Other	2.0	10.0	none	none	split_2	A	0	18	
driver17	2017-12-01 12:11:00	2017-12-01 12:12:00	1.0	Driving	2.0	10.0	none	none	split_2	A	0	18	
driver17	2017-12-01 12:12:00	2017-12-01 12:13:00	1.0	Other	2.0	10.0	none	none	split_2	A	0	18	
driver17	2017-12-01 12:13:00	2017-12-01 12:15:00	2.0	Break	2.0	10.0	none	none	split_2	B_T0	0	18	
